fecha,temperatura_C,TC,posicion,profundidad_m
2025-12-27 12:57:01,19.134,TC1,surface,0.0
2025-12-27 13:27:01,19.947,TC1,surface,0.0
2025-12-27 13:57:01,20.698,TC1,surface,0.0
2025-12-27 14:27:01,21.386,TC1,surface,0.0
2025-12-27 14:57:01,21.824,TC1,surface,0.0
2025-12-27 15:27:01,22.137,TC1,surface,0.0
2025-12-27 15:57:01,22.325,TC1,surface,0.0
2025-12-27 16:27:01,22.262,TC1,surface,0.0
2025-12-27 16:57:01,22.074,TC1,surface,0.0
2025-12-27 17:27:01,21.699,TC1,surface,0.0
2025-12-27 17:57:01,21.261,TC1,surface,0.0
2025-12-27 18:27:01,20.698,TC1,surface,0.0
2025-12-27 18:57:01,20.072,TC1,surface,0.0
2025-12-27 19:27:01,19.509,TC1,surface,0.0
2025-12-27 19:57:01,19.071,TC1,surface,0.0
2025-12-27 20:27:01,18.633,TC1,surface,0.0
2025-12-27 20:57:01,18.257,TC1,surface,0.0
2025-12-27 21:27:01,17.944,TC1,surface,0.0
2025-12-27 21:57:01,17.631,TC1,surface,0.0
2025-12-27 22:27:01,17.381,TC1,surface,0.0
2025-12-27 22:57:01,17.068,TC1,surface,0.0
2025-12-27 23:27:01,16.817,TC1,surface,0.0
2025-12-27 23:57:01,16.567,TC1,surface,0.0
2025-12-28 00:27:01,16.379,TC1,surface,0.0
2025-12-28 00:57:01,16.254,TC1,surface,0.0
2025-12-28 01:27:01,16.066,TC1,surface,0.0
2025-12-28 01:57:01,15.94,TC1,surface,0.0
2025-12-28 02:27:01,15.753,TC1,surface,0.0
2025-12-28 02:57:01,15.565,TC1,surface,0.0
2025-12-28 03:27:01,15.439,TC1,surface,0.0
2025-12-28 03:57:01,15.252,TC1,surface,0.0
2025-12-28 04:27:01,15.126,TC1,surface,0.0
2025-12-28 04:57:01,14.938,TC1,surface,0.0
2025-12-28 05:27:01,14.813,TC1,surface,0.0
2025-12-28 05:57:01,14.688,TC1,surface,0.0
2025-12-28 06:27:01,14.562,TC1,surface,0.0
2025-12-28 06:57:01,14.5,TC1,surface,0.0
2025-12-28 07:27:01,14.437,TC1,surface,0.0
2025-12-28 07:57:01,14.437,TC1,surface,0.0
2025-12-28 08:27:01,14.437,TC1,surface,0.0
2025-12-28 08:57:01,14.688,TC1,surface,0.0
2025-12-28 09:27:01,15.001,TC1,surface,0.0
2025-12-28 09:57:01,15.377,TC1,surface,0.0
2025-12-28 10:27:01,15.94,TC1,surface,0.0
2025-12-28 10:57:01,16.567,TC1,surface,0.0
2025-12-28 11:27:01,17.256,TC1,surface,0.0
2025-12-28 11:57:01,18.007,TC1,surface,0.0
2025-12-28 12:27:01,18.695,TC1,surface,0.0
2025-12-28 12:57:01,19.321,TC1,surface,0.0
2025-12-28 13:27:01,20.072,TC1,surface,0.0
2025-12-28 13:57:01,20.761,TC1,surface,0.0
2025-12-28 14:27:01,21.449,TC1,surface,0.0
2025-12-28 14:57:01,21.824,TC1,surface,0.0
2025-12-28 15:27:01,22.012,TC1,surface,0.0
2025-12-28 15:57:01,22.074,TC1,surface,0.0
2025-12-28 16:27:01,22.012,TC1,surface,0.0
2025-12-28 16:57:01,21.887,TC1,surface,0.0
2025-12-28 17:27:01,21.574,TC1,surface,0.0
2025-12-28 17:57:01,21.136,TC1,surface,0.0
2025-12-28 18:27:01,20.573,TC1,surface,0.0
2025-12-28 18:57:01,19.947,TC1,surface,0.0
2025-12-28 19:27:01,19.321,TC1,surface,0.0
2025-12-28 19:57:01,18.758,TC1,surface,0.0
2025-12-28 20:27:01,18.32,TC1,surface,0.0
2025-12-28 20:57:01,18.007,TC1,surface,0.0
2025-12-28 21:27:01,17.694,TC1,surface,0.0
2025-12-28 21:57:01,17.506,TC1,surface,0.0
2025-12-28 22:27:01,17.193,TC1,surface,0.0
2025-12-28 22:57:01,16.88,TC1,surface,0.0
2025-12-28 23:27:01,16.629,TC1,surface,0.0
2025-12-28 23:57:01,16.441,TC1,surface,0.0
2025-12-29 00:27:01,16.254,TC1,surface,0.0
2025-12-29 00:57:01,16.128,TC1,surface,0.0
2025-12-29 01:27:01,15.94,TC1,surface,0.0
2025-12-29 01:57:01,15.815,TC1,surface,0.0
2025-12-29 02:27:01,15.69,TC1,surface,0.0
2025-12-29 02:57:01,15.502,TC1,surface,0.0
2025-12-29 03:27:01,15.377,TC1,surface,0.0
2025-12-29 03:57:01,15.314,TC1,surface,0.0
2025-12-29 04:27:01,15.252,TC1,surface,0.0
2025-12-29 04:57:01,15.252,TC1,surface,0.0
2025-12-29 05:27:01,15.126,TC1,surface,0.0
2025-12-29 05:57:01,14.938,TC1,surface,0.0
2025-12-29 06:27:01,14.75,TC1,surface,0.0
2025-12-29 06:57:01,14.688,TC1,surface,0.0
2025-12-29 07:27:01,14.625,TC1,surface,0.0
2025-12-29 07:57:01,14.625,TC1,surface,0.0
2025-12-29 08:27:01,14.562,TC1,surface,0.0
2025-12-29 08:57:01,14.75,TC1,surface,0.0
2025-12-29 09:27:01,15.001,TC1,surface,0.0
2025-12-29 09:57:01,15.439,TC1,surface,0.0
2025-12-29 10:27:01,15.94,TC1,surface,0.0
2025-12-29 10:57:01,16.567,TC1,surface,0.0
2025-12-29 11:27:01,17.256,TC1,surface,0.0
2025-12-29 11:57:01,18.007,TC1,surface,0.0
2025-12-29 12:27:01,18.821,TC1,surface,0.0
2025-12-29 12:57:01,19.572,TC1,surface,0.0
2025-12-29 13:27:01,20.323,TC1,surface,0.0
2025-12-29 13:57:01,21.199,TC1,surface,0.0
2025-12-29 14:27:01,21.824,TC1,surface,0.0
2025-12-29 14:57:01,22.2,TC1,surface,0.0
2025-12-29 15:27:01,22.512,TC1,surface,0.0
2025-12-29 15:57:01,22.637,TC1,surface,0.0
2025-12-29 16:27:01,22.512,TC1,surface,0.0
2025-12-29 16:57:01,22.325,TC1,surface,0.0
2025-12-29 17:27:01,21.949,TC1,surface,0.0
2025-12-29 17:57:01,21.511,TC1,surface,0.0
2025-12-29 18:27:01,20.948,TC1,surface,0.0
2025-12-29 18:57:01,20.385,TC1,surface,0.0
2025-12-29 19:27:01,19.759,TC1,surface,0.0
2025-12-29 19:57:01,19.259,TC1,surface,0.0
2025-12-29 20:27:01,18.758,TC1,surface,0.0
2025-12-29 20:57:01,18.445,TC1,surface,0.0
2025-12-29 21:27:01,18.069,TC1,surface,0.0
2025-12-29 21:57:01,17.819,TC1,surface,0.0
2025-12-29 22:27:01,17.506,TC1,surface,0.0
2025-12-29 22:57:01,17.193,TC1,surface,0.0
2025-12-29 23:27:01,16.88,TC1,surface,0.0
2025-12-29 23:57:01,16.629,TC1,surface,0.0
2025-12-30 00:27:01,16.441,TC1,surface,0.0
2025-12-30 00:57:01,16.316,TC1,surface,0.0
